id,dayNight,temp,wind,condition,venue_id,home_probablePitcher,away_probablePitcher,gameNumber,doubleHeader,season,homeTeam_id,awayTeam_id
2018/03/29/anamlb-oakmlb-1,day,73,"2 mph, Out To RF",Partly Cloudy,10,608665,572070,1,N,2018,133,108
2018/03/29/bosmlb-tbamlb-1,day,72,"0 mph, None",Dome,12,502042,519242,1,N,2018,139,111
2018/03/29/chamlb-kcamlb-1,day,45,"10 mph, L To R",Overcast,7,518633,448306,1,N,2018,118,145
2018/03/29/chnmlb-miamlb-1,day,75,"16 mph, In From RF",Partly Cloudy,4169,570632,452657,1,N,2018,146,112
2018/03/29/clemlb-seamlb-1,night,55,"2 mph, In From CF",Cloudy,680,433587,446372,1,N,2018,136,114
2018/03/29/colmlb-arimlb-1,night,82,"0 mph, None",Clear,15,571578,592351,1,N,2018,109,115
2018/03/29/houmlb-texmlb-1,day,63,"2 mph, Out To CF",Partly Cloudy,13,430935,434378,1,N,2018,140,117
2018/03/29/milmlb-sdnmlb-1,day,69,"6 mph, Out To RF",Sunny,2680,453385,502624,1,N,2018,135,158
2018/03/29/minmlb-balmlb-1,day,65,"7 mph, R To L",Partly Cloudy,2,605164,543606,1,N,2018,110,142
2018/03/29/nyamlb-tormlb-1,day,68,"0 mph, None",Roof Closed,14,457918,622663,1,N,2018,141,147
2018/03/29/phimlb-atlmlb-1,day,74,"16 mph, L To R",Cloudy,4705,527054,605400,1,N,2018,144,143
2018/03/29/sfnmlb-lanmlb-1,day,73,"4 mph, Out To RF",Sunny,22,477132,621389,1,N,2018,119,137
2018/03/29/slnmlb-nynmlb-1,day,50,"9 mph, R To L",Cloudy,3289,592789,593372,1,N,2018,121,138
2018/03/30/anamlb-oakmlb-1,night,70,"8 mph, Out To RF",Partly Cloudy,10,640455,572140,1,N,2018,133,108
2018/03/30/bosmlb-tbamlb-1,night,72,"0 mph, None",Dome,12,605483,456034,1,N,2018,139,111
2018/03/30/chnmlb-miamlb-1,night,76,"12 mph, R To L",Clear,4169,592761,543294,1,N,2018,146,112
2018/03/30/colmlb-arimlb-1,night,86,"6 mph, Out To CF",Partly Cloudy,15,592662,542881,1,N,2018,109,115
2018/03/30/houmlb-texmlb-1,night,70,"9 mph, In From CF",Clear,13,450729,572971,1,N,2018,140,117
2018/03/30/milmlb-sdnmlb-1,night,63,"7 mph, L To R",Partly Cloudy,2680,664192,468504,1,N,2018,135,158
2018/03/30/nyamlb-tormlb-1,night,68,"0 mph, None",Roof Closed,14,592717,547888,1,N,2018,141,147
2018/03/30/phimlb-atlmlb-1,night,60,"14 mph, R To L",Partly Cloudy,4705,592314,601713,1,N,2018,144,143
2018/03/30/pitmlb-detmlb-1,day,39,"11 mph, L To R",Partly Cloudy,2394,519455,467100,1,N,2018,116,134
2018/03/30/sfnmlb-lanmlb-1,night,62,"3 mph, Out To CF",Cloudy,22,622072,456501,1,N,2018,119,137
2018/03/30/wasmlb-cinmlb-1,day,47,"8 mph, Varies",Cloudy,2602,456701,453286,1,N,2018,113,120
2018/03/31/anamlb-oakmlb-1,day,66,"4 mph, Out To RF",Partly Cloudy,10,596043,533167,1,N,2018,133,108
2018/03/31/bosmlb-tbamlb-1,night,72,"0 mph, None",Dome,12,552640,519144,1,N,2018,139,111
2018/03/31/chamlb-kcamlb-1,night,45,"18 mph, L To R",Cloudy,7,453178,608337,1,N,2018,118,145
2018/03/31/chnmlb-miamlb-1,night,75,"12 mph, In From LF",Partly Cloudy,4169,628333,506433,1,N,2018,146,112
2018/03/31/clemlb-seamlb-1,day,48,"3 mph, Out To CF",Cloudy,680,572020,471911,1,N,2018,136,114
2018/03/31/colmlb-arimlb-1,night,90,"8 mph, Varies",Partly Cloudy,15,425844,608566,1,N,2018,109,115
2018/03/31/houmlb-texmlb-1,day,73,"19 mph, In From CF",Partly Cloudy,13,519043,621121,1,N,2018,140,117
2018/03/31/milmlb-sdnmlb-1,night,61,"9 mph, L To R",Cloudy,2680,606131,608718,1,N,2018,135,158
2018/03/31/minmlb-balmlb-1,night,55,"12 mph, Out To LF",Clear,2,488768,502043,1,N,2018,110,142
2018/03/31/nyamlb-tormlb-1,day,68,"0 mph, None",Roof Closed,14,462136,282332,1,N,2018,141,147
2018/03/31/phimlb-atlmlb-1,night,67,"6 mph, L To R",Partly Cloudy,4705,435221,592826,1,N,2018,144,143
2018/03/31/sfnmlb-lanmlb-1,night,65,"5 mph, Out To CF",Partly Cloudy,22,628317,502706,1,N,2018,119,137
2018/03/31/slnmlb-nynmlb-1,day,53,"3 mph, Out To CF",Sunny,3289,594798,608379,1,N,2018,121,138
2018/03/31/wasmlb-cinmlb-1,day,59,"17 mph, R To L",Partly Cloudy,2602,622491,544931,1,N,2018,113,120
2018/04/01/anamlb-oakmlb-1,day,66,"7 mph, Out To RF",Sunny,10,605254,660271,1,N,2018,133,108
2018/04/01/bosmlb-tbamlb-1,day,72,"0 mph, None",Dome,12,607188,584171,1,N,2018,139,111
2018/04/01/chnmlb-miamlb-1,day,79,"12 mph, In From LF",Partly Cloudy,4169,596071,500779,1,N,2018,146,112
2018/04/01/clemlb-seamlb-1,day,47,"1 mph, In From CF",Roof Closed,680,502190,545333,1,N,2018,136,114
2018/04/01/houmlb-texmlb-1,day,71,"9 mph, In From RF",Overcast,13,501985,543037,1,N,2018,140,117
2018/04/01/minmlb-balmlb-1,day,61,"9 mph, Out To CF",Overcast,2,592332,621244,1,N,2018,110,142
2018/04/01/nyamlb-tormlb-1,day,68,"0 mph, None",Roof Closed,14,573186,543243,1,N,2018,141,147
2018/04/01/pitmlb-detmlb-1,day,36,"7 mph, R To L",Sunny,2394,605242,592866,1,S,2018,116,134
2018/04/01/pitmlb-detmlb-2,night,40,"10 mph, Out To LF",Cloudy,2394,543001,641771,2,S,2018,116,134
2018/04/01/sfnmlb-lanmlb-1,night,64,"5 mph, L To R",Cloudy,22,448179,608717,1,N,2018,119,137
